species,family_ID,common_name,growth_form,annual_perennial,single_inflo,type_inflorescence,pollnec_access,flowers_per_inflorescence,flower_symmetry,inflorescence_symmetry,bird,wind,lepidoptera,bees,flies,Beetles,spring,summer,fall,winter,flower_sex,floral_fragrance,amount_of_nectar_per_poll_unit_per_day,poldepstig,polload,natint,stigcont,headstig,headanth,thorstig,thoranth,legstig,leganth,noind,body_length,body_weigth,body_depth,flw_vis_time,pref_nec,pref_pol,soc_sol,larv_necpol,larv_plant,larv_carr,larv_paras,larv_dung,larv_dinsct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Carrying_structure,6am,8am,10am,12pm,2pm,4pm,6pm,8pm
Lolium_sp,Poaceae,rye_grass,grass,annual,2,1,1,2,zygomorphic,zygomorphic,0,1,0,0,0,0,1,1,0,0,bisexual,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malva_spp,Malvaceae,mallow,shrub,perennial,1,0,1,1,actinomorphic,actinomorphic,0,0,1,0,0,0,0,1,0,0,bisexual,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taraxacum_officinale,asteraceae,dandelyon,herb,perennial,2,2,2,2,zygomorphic,actinomorphic,0,0,1,1,1,0,0,1,0,0,bisexual,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raphanus_sp,Brassicaceae,wild_radish,herb,annual,2,1,1,1,zygomorphic,zygomorphic,0,0,0,1,1,0,0,1,1,0,bisexual,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cirsium_vulgare,Asteraceae_species_2,thistle,herb,biennial,2,2,2,2,zygomorphic,actinomorphic,0,0,0,1,0,0,1,1,1,1,bisexual,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus_globulus,Eucalyptus_sp.1,eucalypt_,tree,perennial,2,1,1,1,actinomorphic,actinomorphic,1,0,0,1,1,1,0,1,0,0,bisexual,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus_nitens,Eucalyptus_sp._2,eucalypt_,tree,perennial,2,1,1,1,actinomorphic,actinomorphic,1,0,0,1,1,1,0,1,1,0,bisexual,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trifolium_sp,fabaceae,white_clover,herb,perennial,2,1,2,1,zygomorphic,actinomorphic,0,0,0,1,0,0,0,1,1,0,bisexual,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daucus_carota,Apiaceae,Queen_anns_lace_weed,herb,biennial,2,1,1,3,actinomorphic,actinomorphic,0,0,0,0,1,0,0,1,1,0,bisexual,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodium_album,Chenopodiaceae,fathen,herb,annual,2,1,1,2,actinomorphic,actinomorphic,0,1,0,0,0,0,0,1,1,0,bisexual,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordyline_sp,Agavaceae,cabbage_tree,tree,perennial,2,1,1,3,actinomorphic,actinomorphic,1,0,0,1,1,0,0,1,0,0,bisexual,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcea_sp,Malvaceae_,hollyhock,herb,biennial,1,0,2,1,actinomorphic,actinomorphic,0,0,1,1,1,0,0,1,1,0,bisexual,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubus_fruticosus,Roseaceae,blackberry,shrub,perennial,2,1,2,1,actinomorphic,actinomorphic,0,0,0,1,1,0,0,1,0,0,bisexual,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alnus_serrulate,Betulaceae,hazel_alder,tree,perennial,2,3,1,2,zygomorphic,zygomorphic,0,1,0,0,0,0,1,0,0,1,unisexual,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alnus_glutinosa,Betulaceae,alder_,tree,perennial,2,3,1,2,zygomorphic,zygomorphic,0,1,0,0,0,0,1,0,0,1,unisexual,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apis_mellifera,Apidae,honeybee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.03125,1491.783854,Introduced,88.7,8.87,9.5,7.04,7.43,4.39,7.26,8.0,12.0,4.5,3.3,4.1,100,0,social,1,0,0,0,0,0,124,223,330,174,154,210,256,183,73,417,226,corbicula,1,211,4968,5350,5683,329,22,5
Bombus_terrestris,Apidae,bumblebee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.625,1172.958333,Introduced,97,9.818,9.9,7.545,7.818,4,7.363,8.0,14.3,6.8,4.9,3.682,100,0,social,1,0,0,0,0,0,24,98,212,91,20,23,15,26,20,106,23,corbicula,1,24,237,278,207,72,36,2
Calliphora_stygia,Calliphoridae,blowfly_brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5,853.0,Introduced,NA,NA,NA,NA,NA,NA,NA,8.0,10.9,5.7,4.4,NA,NA,NA,solitary,0,1,1,0,0,0,0,1,5,0,0,1,2,5,0,2,2,None,4,6,87,93,56,4,4,0
Calliphora_vicina,Calliphoridae,blowfly_grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.0,Introduced,100.0,10,10.0,2,7.0,4,10.0,8.0,9.0,4.9,3.6,10.1,100.0,NA,solitary,0,1,1,0,0,0,6,22,38,4,0,7,7,13,1,7,0,None,0,3,45,28,22,1,1,0
Delia_platura,Anthomyiidae,mornevefly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,Introduced,NA,NA,NA,NA,NA,NA,NA,8.0,3.9,1.6,1.4,NA,NA,NA,solitary,0,1,0,0,0,0,51,123,193,32,32,57,189,94,33,9,6,None,522,195,141,52,51,135,653,445
Eristalis_tenax,Syrphidae,dronefly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.6363636,1069.590909,Introduced,92.5,6.375,9,7.125,8.125,2.375,7.5,8.0,14.3,5.1,4.4,9.8,75,25,solitary,0,1,0,0,0,0,9,11,12,9,3,8,6,6,0,19,0,None,5,65,760,813,889,39,12,0
Helophilus_hochstetteri,Syrphidae,bluehoverfly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.0,528.0,Native,80.0,6.0,10.0,5.0,7.0,3.0,8.0,8.0,8.6,3.2,2.8,11.6,0.0,100.0,solitary,0,1,0,0,0,0,4,7,2,0,1,0,0,0,0,0,2,None,0,2,60,99,70,4,1,0
Ichneumon_promissorius,Ichneumonidae,wasp1_s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,NA,NA,NA,NA,NA,NA,NA,NA,13.0,2.0,2.0,NA,NA,NA,solitary,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,None,1,0,14,18,7,0,1,1
Lasioglossum_sordidum,Halictidae,nativebee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.14285714,461.0,Native,28.0,0.4,2.4,0.6,2.2,3.2,6.6,8.0,5.5,1.7,1.5,10.7,100.0,0.0,solitary,1,0,0,0,0,0,707,3236,3273,585,72,15,4,1,3,836,604,Scopa,0,1,110,107,56,2,0,0
Melangyna_novaezelandiae,Syrphidae,orangehoverfly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.125,155.0,Native,42.9,1.6,5.9,0.0,0.7,3.4,6.0,8.0,9.7,2.2,2.2,7.5,14.3,85.7,solitary,0,0,0,0,0,1,45,32,28,7,3,6,3,6,6,5,3,None,6,16,1248,1366,1373,21,24,5
Netelia_producta,Ichneumonidae,wasp_2s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Introduced,NA,NA,NA,NA,NA,NA,NA,NA,17.0,1.5,1.5,NA,NA,NA,solitary,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA
Odontomyia_atrovirens,Stratiomyidae,soldierfly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.11764706,453.0,Native,NA,NA,NA,NA,NA,NA,NA,8.0,8.9,3.0,2.5,NA,NA,NA,solitary,0,1,0,0,0,0,29,206,109,13,1,0,0,0,0,0,0,None,12,23,312,307,564,27,14,9
Oxysarcodexia_varia,Sarcophagidae,sarcofly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.0,Introduced,40.0,0.0,7.0,1.0,2.0,3.0,7.0,8.0,8.4,3.1,3.0,6.1,100.0,0.0,solitary,0,0,0,0,1,0,0,36,91,92,17,3,8,0,0,0,0,None,0,0,67,94,66,3,0,1
Pales_marginata,Tachinidae,tachfly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,65,5.5,10,3,7,3.5,8,6.0,6.4,3.1,2.7,NA,100,0,solitary,0,0,0,1,0,0,0,7,11,5,6,3,3,1,0,0,0,None,0,0,1,1,1,0,0,0
Pollenia_pseudorudis,Calliphoridae,clusterfly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.0,Introduced,13.0,0.0,1.7,0.7,0.7,1.0,4.0,8.0,7.3,3.0,2.4,15.9,100.0,0.0,solitary,0,0,0,1,0,0,36,571,529,176,25,21,46,0,0,55,11,None,0,0,62,42,42,2,0,0
Thyreocephalus_orthodoxus,Staphylinidae,beetle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Introduced,NA,NA,NA,NA,NA,NA,NA,NA,19.0,2.0,1.5,NA,NA,NA,solitary,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
